id,customer_id,call_start_time,call_duration_in_secs,call_charge_in_sgd
1,1,1/1/2011 7:07,120,0.2
2,1,2/1/2011 8:14,60,0.1
3,1,3/1/2011 9:21,180,0.3
4,1,4/1/2011 10:28,60,0.1
5,1,5/1/2011 11:35,120,0.2
6,1,6/1/2011 12:42,30,0.05
7,1,7/1/2011 13:49,30,0.05
8,2,1/1/2011 14:56,45,0.1
9,2,2/1/2011 15:03,90,0.1
10,2,3/1/2011 16:10,60,0.1
11,2,4/1/2011 17:17,30,0.1
12,2,5/1/2011 18:24,75,0.1
13,3,30/12/2010 19:31,500,1
14,3,1/1/2011 6:38,30,0.05
15,3,2/1/2011 7:45,30,0.05
16,3,3/1/2011 8:52,30,0.05
17,3,4/1/2011 9:59,30,0.05
18,3,5/1/2011 10:06,30,0.05
19,3,6/1/2011 11:13,30,0.05
20,3,7/1/2011 12:20,30,0.05
21,3,9/1/2011 13:27,400,0.8
22,4,3/1/2011 14:34,200,0.4
23,4,6/1/2011 15:41,100,0.2
24,5,1/1/2011 16:48,60,0.1
25,5,1/1/2011 17:55,60,0.1
26,5,2/1/2011 18:02,60,0.1
27,5,3/1/2011 19:09,60,0.1
28,5,4/1/2011 6:16,60,0.1
29,5,5/1/2011 7:23,60,0.1
30,5,6/1/2011 8:30,60,0.1
31,5,7/1/2011 9:37,60,0.1
32,6,1/1/2011 10:44,80,0.15
33,6,2/1/2011 11:51,80,0.15
34,6,3/1/2011 12:58,80,0.15
35,6,5/1/2011 13:05,80,0.15
36,6,6/1/2011 14:12,80,0.15
37,6,7/1/2011 15:19,80,0.15
38,7,1/1/2011 16:26,90,0.18
39,7,2/1/2011 17:33,90,0.18
40,7,3/1/2011 18:40,90,0.18
41,7,4/1/2011 19:47,90,0.18
42,7,5/1/2011 6:54,90,0.18
43,7,6/1/2011 7:01,90,0.18
44,7,7/1/2011 8:08,90,0.18
45,8,31/12/2010 9:15,150,0.3
46,8,8/1/2011 10:22,200,0.4
47,8,15/1/2011 11:29,100,0.2
48,9,2/1/2011 12:36,120,0.25
49,9,4/1/2011 13:43,120,0.25
50,9,6/1/2011 14:50,120,0.25
